label,pred_SVM,pred_LogReg,pred_RF,pred_IndoBERT-only,pred_IndoBERT+CNN,n_correct,all_agree,all_correct,all_wrong,proposed_right_others_wrong
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
negative,negative,negative,negative,negative,negative,5,True,True,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
negative,negative,negative,negative,negative,negative,5,True,True,False,False
neutral,negative,negative,negative,negative,neutral,1,False,False,False,True
positive,positive,positive,positive,positive,positive,5,True,True,False,False
negative,negative,negative,negative,negative,negative,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
neutral,positive,neutral,negative,negative,neutral,2,False,False,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
positive,negative,negative,negative,negative,negative,0,True,False,True,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
negative,neutral,negative,negative,negative,neutral,3,False,False,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
negative,negative,negative,negative,negative,negative,5,True,True,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
negative,negative,negative,negative,negative,positive,4,False,False,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
neutral,neutral,neutral,neutral,neutral,neutral,5,True,True,False,False
positive,positive,positive,positive,positive,positive,5,True,True,False,False
negative,negative,positive,positive,negative,negative,3,False,False,False,False
negative,negative,negative,negative,negative,negative,5,True,True,False,False
negative,negative,neutral,neutral,negative,negative,3,False,False,False,False
neutral,neutral,positive,positive,neutral,neutral,3,False,False,False,False
positive,positive,negative,negative,positive,positive,3,False,False,False,False
